燃煤,燃气,核电,光伏,水电,受电,统调负荷,偏差,除燃气外
29744,630,2850,37,0,15976,49633,-396,48607
28640,629,2850,36,0,15201,47699,-343,46727
27290,627,2850,34,0,15201,46330,-328,45375
26528,627,2850,33,0,15201,45547,-308,44612
27033,627,2850,34,0,15201,46045,-300,45118
29213,809,2850,39,0,15890,49091,-290,47992
29742,1330,2850,450,35,18710,53372,-255,51787
32522,4263,2850,939,135,20286,61243,-248,56732
31884,7017,2850,1377,613,22384,66378,-253,59108
32750,7038,2850,1724,613,23663,68889,-251,61600
33140,5568,2850,1943,0,22725,66501,-275,60658
33069,3588,2850,1996,0,21322,63110,-285,59237
32782,7038,2850,1909,813,22793,68488,-303,61147
33752,7039,2850,1696,813,23719,70197,-328,62830
34884,7040,2850,1348,813,23602,70897,-360,63497
36505,7042,2850,901,813,23546,72059,-402,64615
35184,6891,2850,406,787,21511,68024,-395,60738
35536,4041,2850,45,9,20775,63690,-434,59215
35352,3891,2850,44,9,20775,63361,-440,59030
34249,3190,2850,43,9,20775,61537,-421,57926
33424,2669,2850,42,9,20775,60181,-412,57100
33641,2359,2850,42,9,20317,59586,-368,56859
33302,1544,2850,42,0,19188,57293,-367,55382
31372,632,2850,42,0,18059,53298,-343,52323
